dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl
1/3-1,,Production is unlikely,GAS,1/3-1,North sea,,,1968,,,,43820,,154,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43820,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=43820
6707/10-1 AASTA HANSTEEN,Statoil Petroleum AS,Approved for production,GAS,6707/10-1,Norwegian sea,AASTA HANSTEEN,07.06.2013,1997,,PRODUCTION LICENSE,218,44954,23395946,3075,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44954,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=23395946
1/6-1 ALBUSKJELL,ConocoPhillips Skandinavia AS,Shut down,GAS/CONDENSATE,1/6-1,North sea,ALBUSKJELL,25.04.1975,1972,,PRODUCTION LICENSE,018,43844,43437,239,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43844,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43437
6507/3-1 ALVE,Statoil Petroleum AS,Producing,GAS/CONDENSATE,6507/3-1,Norwegian sea,ALVE,16.03.2007,1990,,PRODUCTION LICENSE,159 B,44924,4444332,1533,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44924,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4444332
24/6-2 ALVHEIM,Aker BP ASA,Producing,OIL/GAS,24/6-2,North sea,ALVHEIM,08.10.2004,1998,,PRODUCTION LICENSE,203,45828,2845712,3397,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45828,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=2845712
25/5-7 ATLA,Total E&P Norge AS,Producing,GAS/CONDENSATE,25/5-7,North sea,ATLA,04.11.2011,2010,,PRODUCTION LICENSE,102 C,18404420,21106284,6423,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18404420,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21106284
25/11-1 BALDER,ExxonMobil Exploration and Production Norway AS,Producing,OIL,25/11-1,North sea,BALDER,02.02.1996,1967,,PRODUCTION LICENSE,001,44210,43562,143,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44210,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43562
1/2-1 BLANE,Repsol Norge AS,Producing,OIL,1/2-1,North sea,BLANE,01.07.2005,1989,,BUSINESS ARRANGEMENT AREA,BLANE UNIT,43814,3437650,1382,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43814,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=3437650
31/4-3 BRAGE,Wintershall Norge AS,Producing,OIL,31/4-3,North sea,BRAGE,29.03.1990,1980,,BUSINESS ARRANGEMENT AREA,BRAGE UNIT,44546,43651,402,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44546,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43651
7/7-2 BRYNHILD,Lundin Norway AS,Producing,OIL,7/7-2,North sea,BRYNHILD,11.11.2011,1992,,PRODUCTION LICENSE,148,44984,21123063,1868,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44984,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21123063
